gene_name	chr	K119ub_up	mCH_up
Pom121l12	chr11	FALSE	FALSE
Naaladl1	chr19	FALSE	TRUE
Aldoc	chr11	TRUE	TRUE
Ccdc71l	chr12	TRUE	FALSE
Sppl2a	chr2	FALSE	TRUE
Samd9l	chr6	FALSE	TRUE
Fbxo5	chr10	TRUE	TRUE
Hspa4l	chr3	TRUE	TRUE
Calml3	chr13	FALSE	TRUE
Vmn1r220	chr13	TRUE	TRUE
Rbm43	chr2	TRUE	TRUE
Slpi	chr2	FALSE	TRUE
Vmn1r40	chr6	FALSE	TRUE
Mc3r	chr2	FALSE	TRUE
Flg2	chr3	FALSE	TRUE
Snrpa	chr7	FALSE	TRUE
Vmn1r13	chr6	FALSE	TRUE
Rpsa	chr9	TRUE	TRUE
Prmt2	chr10	TRUE	TRUE
Fzd5	chr1	TRUE	FALSE
Vmn1r27	chr6	TRUE	FALSE
Arl6ip1	chr7	TRUE	TRUE
Cdkn2b	chr4	FALSE	TRUE
Slc6a19	chr13	TRUE	TRUE
Mrpl36	chr13	TRUE	FALSE
Tmem125	chr4	FALSE	TRUE
Exosc3	chr4	TRUE	TRUE
Foxe1	chr4	FALSE	FALSE
Lrfn4	chr19	FALSE	TRUE
Bcl2l1	chr2	TRUE	TRUE
Erg	chr16	TRUE	TRUE
Golga7b	chr19	TRUE	TRUE
Cst11	chr2	FALSE	TRUE
Vwce	chr19	TRUE	TRUE
Ppbp	chr5	FALSE	TRUE
Atg12	chr18	TRUE	FALSE
Oaz1	chr10	FALSE	FALSE
Ckb	chr12	FALSE	FALSE
Mks1	chr11	TRUE	TRUE
Cyb561a3	chr19	TRUE	TRUE
Zc2hc1a	chr3	TRUE	TRUE
Cnga4	chr7	FALSE	TRUE
Krtap7-1	chr16	TRUE	FALSE
Cstdc4	chr16	FALSE	TRUE
Iqcf5	chr9	FALSE	TRUE
Vps25	chr11	TRUE	TRUE
Clk3	chr9	TRUE	TRUE
Miip	chr4	TRUE	TRUE
Calr3	chr8	TRUE	TRUE
Lamb2	chr9	TRUE	TRUE
Ndufb9	chr15	TRUE	FALSE
Pigs	chr11	FALSE	TRUE
Hmgn5	chrX	TRUE	TRUE
Ildr2	chr1	TRUE	TRUE
Gpx8	chr13	TRUE	TRUE
Pnma2	chr14	TRUE	TRUE
Vmn1r36	chr6	FALSE	TRUE
Fndc9	chr11	FALSE	TRUE
Tex261	chr6	TRUE	FALSE
Btbd10	chr7	TRUE	TRUE
Cstdc1	chr2	TRUE	TRUE
Mtrf1l	chr10	TRUE	TRUE
Cyp2j9	chr4	TRUE	TRUE
Casp8ap2	chr4	TRUE	TRUE
Urb2	chr8	TRUE	TRUE
Rpp30	chr19	TRUE	TRUE
Lrrc47	chr4	FALSE	TRUE
Trim38	chr13	TRUE	TRUE
Ttpal	chr2	FALSE	TRUE
Cckbr	chr7	FALSE	TRUE
Atox1	chr11	TRUE	TRUE
Per1	chr11	TRUE	TRUE
Tas2r113	chr6	FALSE	FALSE
Tcf19	chr17	FALSE	TRUE
Dcps	chr9	TRUE	TRUE
Arl14	chr3	TRUE	TRUE
Prkra	chr2	TRUE	TRUE
Rps19	chr7	TRUE	FALSE
Fcf1	chr12	TRUE	TRUE
Armcx1	chrX	FALSE	TRUE
Pitx2	chr3	FALSE	TRUE
Rps13	chr7	FALSE	TRUE
Cuedc2	chr19	TRUE	TRUE
Zkscan7	chr9	TRUE	TRUE
Spata32	chr11	TRUE	TRUE
Fancb	chrX	TRUE	TRUE
Tpgs1	chr10	FALSE	TRUE
Tmco6	chr18	TRUE	TRUE
Shbg	chr11	FALSE	TRUE
Ogfod2	chr5	TRUE	FALSE
Mex3b	chr7	TRUE	FALSE
Erg28	chr12	TRUE	TRUE
Klk1b26	chr7	FALSE	FALSE
Mei4	chr9	FALSE	TRUE
Smim18	chr8	TRUE	TRUE
Nt5c	chr11	TRUE	TRUE
Mrfap1	chr5	TRUE	TRUE
1810010H24Rik	chr11	TRUE	TRUE
Mc5r	chr18	TRUE	TRUE
Josd2	chr7	FALSE	TRUE
Plk1	chr7	TRUE	TRUE
Rpf2	chr10	TRUE	TRUE
Arhgap28	chr17	TRUE	TRUE
Dck	chr5	TRUE	TRUE
Hmbs	chr9	TRUE	TRUE
Nkx2-3	chr19	FALSE	TRUE
S100z	chr13	FALSE	TRUE
Ppp2r3a	chr9	TRUE	TRUE
Cwf19l2	chr9	FALSE	TRUE
Foxd3	chr4	FALSE	TRUE
Slirp	chr12	TRUE	TRUE
Slfn4	chr11	FALSE	TRUE
Rdh8	chr9	FALSE	TRUE
Tmem62	chr2	TRUE	TRUE
Nepn	chr10	TRUE	TRUE
Prr30	chr14	FALSE	TRUE
Gas7	chr11	TRUE	TRUE
Ldhal6b	chr17	FALSE	TRUE
Atp6ap2	chrX	FALSE	TRUE
Uprt	chrX	FALSE	TRUE
Zfp367	chr13	TRUE	TRUE
Ndor1	chr2	TRUE	TRUE
Polr2k	chr15	TRUE	TRUE
Ccdc90b	chr7	TRUE	TRUE
Gm9376	chr14	FALSE	TRUE
Irf1	chr11	FALSE	FALSE
Cited1	chrX	TRUE	FALSE
Btf3	chr13	TRUE	TRUE
Mafa	chr15	FALSE	TRUE
Serpina7	chrX	FALSE	TRUE
Mrpl53	chr6	TRUE	TRUE
Samd5	chr10	FALSE	TRUE
Pex5	chr6	FALSE	TRUE
Mmp10	chr9	FALSE	FALSE
Hdac2	chr10	FALSE	TRUE
Smco3	chr6	TRUE	TRUE
Phlda3	chr1	FALSE	FALSE
Mettl22	chr16	FALSE	TRUE
Immp1l	chr2	TRUE	TRUE
Spa17	chr9	TRUE	TRUE
Ufsp1	chr5	TRUE	FALSE
Lrrc58	chr16	FALSE	TRUE
Rpl36al	chr12	TRUE	FALSE
Slc45a2	chr15	FALSE	TRUE
Cideb	chr14	TRUE	TRUE
Prg2	chr2	FALSE	TRUE
Glud1	chr14	TRUE	TRUE
Srsf5	chr12	FALSE	TRUE
Habp2	chr19	TRUE	TRUE
Zfp41	chr15	TRUE	TRUE
Casq1	chr1	TRUE	TRUE
Susd2	chr10	TRUE	TRUE
Vmn1r218	chr13	TRUE	TRUE
Cuzd1	chr7	FALSE	TRUE
Rnf146	chr10	TRUE	TRUE
Lag3	chr6	TRUE	TRUE
Kif26a	chr12	FALSE	TRUE
Jagn1	chr6	TRUE	TRUE
Hcls1	chr16	TRUE	TRUE
Tubb2a	chr13	TRUE	TRUE
Zmynd12	chr4	TRUE	TRUE
Fam32a	chr8	TRUE	TRUE
Kcnab3	chr11	TRUE	TRUE
Aldh18a1	chr19	TRUE	TRUE
AY358078	chr14	FALSE	TRUE
Fancd2os	chr6	FALSE	TRUE
Tmem139	chr6	TRUE	TRUE
Zbtb21	chr16	TRUE	TRUE
Xlr4c	chrX	TRUE	TRUE
Vmo1	chr11	TRUE	FALSE
Mybl2	chr2	FALSE	TRUE
Pmpcb	chr5	TRUE	TRUE
Ccnj	chr19	TRUE	TRUE
Trim61	chr8	FALSE	TRUE
Cotl1	chr8	TRUE	TRUE
Inhbe	chr10	TRUE	TRUE
Bex1	chrX	TRUE	TRUE
Jak2	chr19	TRUE	TRUE
Krt13	chr11	FALSE	TRUE
Rrp9	chr9	TRUE	TRUE
Akr7a5	chr4	FALSE	FALSE
Cbfb	chr8	TRUE	TRUE
Mfsd5	chr15	TRUE	FALSE
Gadd45a	chr6	TRUE	TRUE
Klre1	chr6	FALSE	FALSE
Abcg5	chr17	FALSE	TRUE
Uap1l1	chr2	FALSE	TRUE
Dbx1	chr7	FALSE	TRUE
Zfp72	chr13	TRUE	TRUE
Adam20	chr8	FALSE	TRUE
Clec2i	chr6	FALSE	TRUE
Surf1	chr2	FALSE	TRUE
Vwa7	chr17	TRUE	TRUE
Lsm2	chr17	TRUE	TRUE
Rps6	chr4	TRUE	TRUE
Rps9	chr7	TRUE	TRUE
Rgs4	chr1	TRUE	TRUE
Syt8	chr7	TRUE	TRUE
Defb25	chr2	FALSE	FALSE
Tcf4	chr18	TRUE	TRUE
Tldc2	chr2	TRUE	TRUE
Usb1	chr8	TRUE	TRUE
Ccdc178	chr18	FALSE	TRUE
Ubxn6	chr17	TRUE	TRUE
Slc13a5	chr11	FALSE	TRUE
Smad7	chr18	TRUE	TRUE
Pou5f2	chr13	TRUE	TRUE
Ly6f	chr15	FALSE	TRUE
Fastkd3	chr13	TRUE	TRUE
Ttc22	chr4	TRUE	FALSE
Vgll2	chr10	TRUE	TRUE
Glra4	chrX	FALSE	TRUE
Teddm1a	chr1	FALSE	TRUE
Gm10406	chr14	TRUE	TRUE
Klhl28	chr12	TRUE	TRUE
Zfp948	chr17	FALSE	TRUE
Chgb	chr2	TRUE	TRUE
Mettl18	chr1	TRUE	TRUE
Nhsl1	chr10	TRUE	TRUE
Purg	chr8	TRUE	TRUE
Piga	chrX	TRUE	TRUE
Neurog3	chr10	FALSE	FALSE
Pdlim2	chr14	TRUE	TRUE
Taf10	chr7	TRUE	FALSE
Fgf8	chr19	FALSE	FALSE
Fibin	chr2	FALSE	TRUE
Orai2	chr5	TRUE	TRUE
Tcl1	chr12	FALSE	TRUE
Klk1b9	chr7	FALSE	FALSE
Qprt	chr7	TRUE	TRUE
Anapc13	chr9	TRUE	TRUE
Cldn12	chr5	TRUE	TRUE
Prl7d1	chr13	FALSE	TRUE
Hal	chr10	TRUE	TRUE
Saraf	chr8	TRUE	TRUE
Atp8b2	chr3	TRUE	FALSE
Asns	chr6	TRUE	TRUE
Ly6k	chr15	FALSE	FALSE
1700012A03Rik	chr6	TRUE	TRUE
Gclm	chr3	TRUE	TRUE
Fam8a1	chr13	TRUE	TRUE
Ctsc	chr7	FALSE	TRUE
Rrp15	chr1	TRUE	TRUE
Zfp42	chr8	FALSE	TRUE
Rnf126	chr10	FALSE	TRUE
Arhgap17	chr7	FALSE	TRUE
Rhox11	chrX	TRUE	TRUE
Cetn2	chrX	TRUE	TRUE
Krt10	chr11	TRUE	TRUE
Pnkp	chr7	FALSE	FALSE
Zfp580	chr7	TRUE	TRUE
Pspn	chr17	TRUE	FALSE
Rab42	chr4	TRUE	FALSE
Kcnv1	chr15	FALSE	TRUE
Rraga	chr4	TRUE	FALSE
Pax6	chr2	TRUE	TRUE
4933436I01Rik	chrX	TRUE	FALSE
Pim2	chrX	TRUE	TRUE
Slc35a5	chr16	TRUE	TRUE
Myod1	chr7	FALSE	TRUE
Acp5	chr9	TRUE	TRUE
Cblc	chr7	FALSE	TRUE
Phykpl	chr11	TRUE	TRUE
Zfp429	chr13	TRUE	TRUE
Porcn	chrX	TRUE	TRUE
Lrrc59	chr11	FALSE	TRUE
Mlana	chr19	FALSE	TRUE
Naa38	chr11	TRUE	TRUE
Cpt1b	chr15	FALSE	TRUE
Stk35	chr2	TRUE	TRUE
Aadacl2fm2	chr3	TRUE	TRUE
Zfp692	chr11	TRUE	TRUE
Slc10a2	chr8	FALSE	TRUE
Kcnj9	chr1	TRUE	TRUE
Zfp784	chr7	TRUE	TRUE
Ly6a	chr15	FALSE	TRUE
Impdh2	chr9	FALSE	TRUE
Ttll13	chr7	TRUE	TRUE
Dpep2	chr8	TRUE	TRUE
Zfp786	chr6	TRUE	TRUE
Ppp1ca	chr19	TRUE	FALSE
Tnfaip3	chr10	TRUE	TRUE
Pdf	chr8	TRUE	TRUE
Phyhip	chr14	FALSE	TRUE
Eri1	chr8	TRUE	TRUE
Mpeg1	chr19	FALSE	TRUE
Lamtor5	chr3	TRUE	TRUE
6430571L13Rik	chr9	TRUE	TRUE
Tbrg4	chr11	FALSE	TRUE
Slc35d3	chr10	FALSE	TRUE
En2	chr5	FALSE	TRUE
Dpp10	chr1	TRUE	TRUE
Dnajb7	chr15	FALSE	TRUE
Serpina3i	chr12	FALSE	FALSE
Lig1	chr7	FALSE	TRUE
Ncf4	chr15	FALSE	TRUE
Akirin1	chr4	FALSE	TRUE
Galnt4	chr10	TRUE	TRUE
Serpinb9f	chr13	TRUE	TRUE
Krtap26-1	chr16	FALSE	FALSE
Nrgn	chr9	TRUE	TRUE
Nkx2-4	chr2	FALSE	TRUE
Mxra8	chr4	TRUE	TRUE
Iqgap3	chr3	TRUE	TRUE
Rnf138rt1	chrX	TRUE	TRUE
Spata2l	chr8	TRUE	TRUE
Coq9	chr8	FALSE	TRUE
Polr2g	chr19	TRUE	TRUE
Gpx6	chr13	TRUE	TRUE
Ttc5	chr14	TRUE	TRUE
Nebl	chr2	TRUE	TRUE
Kxd1	chr8	TRUE	TRUE
Hif3a	chr7	TRUE	TRUE
Trim59	chr3	TRUE	TRUE
Hoxb3	chr11	FALSE	TRUE
Atpaf2	chr11	TRUE	TRUE
Nfkbil1	chr17	FALSE	TRUE
Fxyd4	chr6	TRUE	TRUE
Ccnt2	chr1	FALSE	TRUE
Itpkc	chr7	FALSE	TRUE
Mlx	chr11	TRUE	TRUE
Dnajc30	chr5	TRUE	TRUE
Ces2g	chr8	TRUE	TRUE
Pfdn6	chr17	TRUE	FALSE
Sephs2	chr7	TRUE	TRUE
Cand2	chr6	TRUE	TRUE
Naa80	chr9	TRUE	FALSE
Tesc	chr5	FALSE	TRUE
Gzmf	chr14	TRUE	TRUE
Tmem234	chr4	FALSE	TRUE
Insyn2b	chr11	TRUE	TRUE
Zfp931	chr2	TRUE	TRUE
Svbp	chr4	TRUE	TRUE
Gpat2	chr2	FALSE	TRUE
Tdpoz4	chr3	FALSE	TRUE
Sap18b	chr8	TRUE	TRUE
Lrp10	chr14	TRUE	TRUE
Asmt	chrX	FALSE	TRUE
Dsel	chr1	TRUE	TRUE
Pebp1	chr5	TRUE	TRUE
Ptges3	chr10	TRUE	TRUE
Aoah	chr13	TRUE	TRUE
H2-Eb1	chr17	TRUE	TRUE
Tgfbr1	chr4	TRUE	TRUE
Rnase6	chr14	FALSE	TRUE
Ppp1r35	chr5	TRUE	TRUE
Pop7	chr5	FALSE	FALSE
Cd81	chr7	TRUE	TRUE
Gsdma	chr11	FALSE	TRUE
Spp1	chr5	FALSE	TRUE
Synj2bp	chr12	FALSE	TRUE
Tnfrsf4	chr4	FALSE	TRUE
BC048679	chr7	TRUE	TRUE
2200002D01Rik	chr7	FALSE	TRUE
Eef1a2	chr2	FALSE	TRUE
Fezf1	chr6	FALSE	TRUE
Aunip	chr4	TRUE	TRUE
Tubg2	chr11	FALSE	TRUE
Sf3a3	chr4	FALSE	TRUE
Fam181a	chr12	TRUE	TRUE
Tiam2	chr17	TRUE	TRUE
Retreg2	chr1	FALSE	TRUE
Pgls	chr8	TRUE	TRUE
Gk2	chr5	TRUE	TRUE
Vmn1r213	chr13	FALSE	TRUE
Ccnd1	chr7	TRUE	TRUE
Dscaml1	chr9	TRUE	TRUE
Gfi1b	chr2	FALSE	TRUE
Mvp	chr7	TRUE	TRUE
H2bc8	chr13	FALSE	TRUE
Fxn	chr19	TRUE	TRUE
Il12a	chr3	TRUE	TRUE
Pate11	chr9	FALSE	TRUE
Fam241b	chr10	FALSE	TRUE
Pura	chr18	FALSE	TRUE
Pdcd4	chr19	TRUE	TRUE
Pcdhb1	chr18	FALSE	FALSE
Cep63	chr9	FALSE	TRUE
Aloxe3	chr11	TRUE	TRUE
Clpsl2	chr17	FALSE	FALSE
Ttc32	chr12	TRUE	TRUE
Krtap1-5	chr11	FALSE	FALSE
Pelo	chr13	TRUE	FALSE
Zfp24	chr18	TRUE	TRUE
Npy6r	chr18	FALSE	TRUE
Gp2	chr7	FALSE	TRUE
Acsbg2	chr17	FALSE	TRUE
Tat	chr8	TRUE	TRUE
Hnrnph3	chr10	FALSE	TRUE
Tmco5	chr2	FALSE	TRUE
Cdkn2aip	chr8	TRUE	TRUE
Krtap20-2	chr16	FALSE	FALSE
Fsip2	chr2	FALSE	TRUE
Mrpl9	chr3	FALSE	TRUE
Cmtm2b	chr8	FALSE	TRUE
Pnrc2	chr4	FALSE	TRUE
Vmn1r234	chr17	FALSE	TRUE
Rassf1	chr9	TRUE	TRUE
Ap3d1	chr10	FALSE	TRUE
Mrps16	chr14	TRUE	TRUE
Nkx2-6	chr14	TRUE	FALSE
Mcm4	chr16	TRUE	TRUE
Pqbp1	chrX	TRUE	TRUE
Gjd4	chr18	FALSE	TRUE
Ibsp	chr5	FALSE	TRUE
Marveld1	chr19	TRUE	TRUE
Man2b2	chr5	TRUE	FALSE
Ovgp1	chr3	FALSE	TRUE
Mia	chr7	TRUE	TRUE
Trim28	chr7	TRUE	TRUE
Cdk14	chr5	TRUE	TRUE
Fga	chr3	FALSE	TRUE
Hoxd13	chr2	FALSE	TRUE
Zfp992	chr4	FALSE	TRUE
Slc6a3	chr13	FALSE	TRUE
Rarb	chr14	TRUE	TRUE
Clcf1	chr19	FALSE	TRUE
Pgam2	chr11	FALSE	TRUE
Six6	chr12	FALSE	TRUE
Tle5	chr10	FALSE	TRUE
Spred3	chr7	TRUE	TRUE
Fancf	chr7	TRUE	FALSE
Dnph1	chr17	TRUE	TRUE
2200002J24Rik	chr7	FALSE	FALSE
BC048507	chr13	TRUE	TRUE
Olfml1	chr7	FALSE	TRUE
Nat1	chr8	TRUE	TRUE
Vmn1r11	chr6	FALSE	TRUE
Kctd9	chr14	TRUE	TRUE
Eogt	chr6	TRUE	TRUE
Tdp2	chr13	TRUE	TRUE
Zfp280b	chr10	FALSE	TRUE
Tas2r104	chr6	FALSE	TRUE
Zfp868	chr8	TRUE	TRUE
Sprr2f	chr3	FALSE	FALSE
Gna11	chr10	FALSE	TRUE
Psg16	chr7	TRUE	TRUE
Smim7	chr8	TRUE	TRUE
H1f5	chr13	TRUE	TRUE
Gstm7	chr3	TRUE	TRUE
Calcr	chr6	FALSE	TRUE
Riox2	chr16	TRUE	TRUE
Serbp1	chr6	TRUE	TRUE
Rnpc3	chr3	TRUE	TRUE
4930503E14Rik	chr14	FALSE	TRUE
Robo4	chr9	TRUE	TRUE
Usp27x	chrX	TRUE	FALSE
Lbx1	chr19	FALSE	FALSE
Ly6d	chr15	TRUE	TRUE
Kdf1	chr4	FALSE	TRUE
Trim65	chr11	TRUE	TRUE
Dus1l	chr11	FALSE	TRUE
Acot10	chr15	FALSE	TRUE
Agtr1a	chr13	FALSE	TRUE
Coq8b	chr7	TRUE	TRUE
Defb37	chr8	FALSE	TRUE
Klhdc7b	chr15	FALSE	TRUE
Mrpl32	chr13	TRUE	TRUE
Zfp189	chr4	TRUE	TRUE
Erlec1	chr11	TRUE	TRUE
Lrriq4	chr3	FALSE	TRUE
Sox15	chr11	FALSE	FALSE
Smc4	chr3	TRUE	TRUE
Tor1aip2	chr1	TRUE	TRUE
Vmn1r2	chr4	FALSE	TRUE
Dhx36	chr3	FALSE	TRUE
Tbc1d10c	chr19	FALSE	TRUE
Scgb1b12	chr7	TRUE	TRUE
Rpf1	chr3	TRUE	TRUE
Tfap4	chr16	TRUE	TRUE
Pde6h	chr6	FALSE	TRUE
Nap1l1	chr10	TRUE	TRUE
Ctso	chr3	TRUE	TRUE
Spdya	chr17	TRUE	TRUE
Gng13	chr17	FALSE	TRUE
Dkc1	chrX	TRUE	TRUE
Cox6c	chr15	FALSE	TRUE
Cst12	chr2	TRUE	TRUE
Myoc	chr1	TRUE	FALSE
Krt15	chr11	FALSE	TRUE
Prkar1a	chr11	FALSE	TRUE
Dsg4	chr18	FALSE	TRUE
Mroh5	chr15	FALSE	TRUE
Kcnb2	chr1	TRUE	TRUE
Csn1s2b	chr5	FALSE	TRUE
Dlst	chr12	FALSE	TRUE
Mgat4f	chr1	FALSE	TRUE
Golga5	chr12	FALSE	TRUE
Cbx1	chr11	FALSE	TRUE
Cxcr1	chr1	FALSE	TRUE
Mrgprg	chr7	FALSE	TRUE
Nop16	chr13	TRUE	TRUE
Tmem247	chr17	FALSE	TRUE
Csdc2	chr15	TRUE	TRUE
Pdss1	chr2	FALSE	TRUE
Cd38	chr5	TRUE	TRUE
Mfsd2b	chr12	FALSE	TRUE
Plxnb1	chr9	FALSE	TRUE
Mtif2	chr11	TRUE	TRUE
Alox12e	chr11	FALSE	TRUE
Enho	chr4	TRUE	FALSE
Prps1l1	chr12	FALSE	TRUE
Cdkn1b	chr6	TRUE	TRUE
Dusp4	chr8	TRUE	TRUE
Nuggc	chr14	FALSE	TRUE
Taf1a	chr1	FALSE	TRUE
Pars2	chr4	TRUE	TRUE
Atrip	chr9	FALSE	TRUE
Zswim2	chr2	FALSE	TRUE
AI854703	chr6	TRUE	TRUE
Tbx15	chr3	FALSE	TRUE
Ajm1	chr2	FALSE	TRUE
Dyrk1b	chr7	FALSE	TRUE
Prr23a1	chr9	FALSE	TRUE
Gucy2e	chr11	TRUE	TRUE
Bod1	chr11	TRUE	TRUE
Prss8	chr7	FALSE	TRUE
Msl3	chrX	TRUE	TRUE
Trex1	chr9	TRUE	TRUE
Wnt9b	chr11	TRUE	TRUE
Mcoln1	chr8	TRUE	TRUE
Hopx	chr5	TRUE	TRUE
Msh6	chr17	FALSE	TRUE
Ppan	chr9	TRUE	TRUE
Jsrp1	chr10	TRUE	FALSE
Nfe2l1	chr11	TRUE	TRUE
Gm1527	chr3	FALSE	TRUE
Zkscan6	chr11	TRUE	TRUE
Ptgfr	chr3	FALSE	TRUE
Tmem263	chr10	TRUE	TRUE
Gm4871	chr5	FALSE	TRUE
Agbl5	chr5	TRUE	TRUE
Rfc2	chr5	FALSE	TRUE
Msh4	chr3	TRUE	TRUE
AU022252	chr4	FALSE	TRUE
Madcam1	chr10	TRUE	TRUE
Abhd10	chr16	TRUE	TRUE
Mzf1	chr7	TRUE	TRUE
Actrt3	chr3	TRUE	TRUE
Tuba3a	chr6	TRUE	TRUE
Ccdc69	chr11	TRUE	TRUE
Xkr9	chr1	TRUE	TRUE
Sharpin	chr15	TRUE	TRUE
Ppm1k	chr6	TRUE	TRUE
Nagk	chr6	TRUE	TRUE
1700020L24Rik	chr11	TRUE	TRUE
Serpinb9h	chr13	TRUE	TRUE
Agpat2	chr2	FALSE	TRUE
Scd4	chr19	TRUE	TRUE
Nfatc2ip	chr7	TRUE	TRUE
Midn	chr10	TRUE	TRUE
Msto1	chr3	FALSE	TRUE
Clec9a	chr6	FALSE	TRUE
Sprr2h	chr3	FALSE	TRUE
Mak16	chr8	TRUE	TRUE
Paqr6	chr3	FALSE	TRUE
Hnrnpdl	chr5	FALSE	TRUE
Fbxl16	chr17	FALSE	TRUE
Med17	chr9	FALSE	TRUE
Tmem115	chr9	FALSE	TRUE
Cklf	chr8	TRUE	TRUE
Nr2f2	chr7	TRUE	TRUE
Rbm12b2	chr4	TRUE	TRUE
Ubfd1	chr7	FALSE	TRUE
Thra	chr11	FALSE	TRUE
Tubgcp4	chr2	TRUE	TRUE
Tsku	chr7	TRUE	TRUE
Arfrp1	chr2	TRUE	TRUE
Rad21l	chr2	TRUE	TRUE
Enpp5	chr17	FALSE	TRUE
Map6d1	chr16	TRUE	TRUE
Senp2	chr16	FALSE	TRUE
Trim46	chr3	FALSE	TRUE
Mafb	chr2	TRUE	TRUE
Sprr1b	chr3	FALSE	TRUE
Lrrc57	chr2	TRUE	TRUE
Mfap5	chr6	FALSE	TRUE
Avpr1a	chr10	FALSE	TRUE
Rnase1	chr14	FALSE	TRUE
Leap2	chr11	TRUE	TRUE
Abraxas1	chr5	TRUE	TRUE
Vash1	chr12	TRUE	TRUE
Reps2	chrX	TRUE	TRUE
Eid2	chr7	TRUE	FALSE
Wrn	chr8	FALSE	TRUE
Cfap126	chr1	TRUE	TRUE
Trim17	chr11	TRUE	TRUE
Snx21	chr2	FALSE	TRUE
Hoxa7	chr6	FALSE	FALSE
Tfb2m	chr1	TRUE	TRUE
Gm13889	chr2	TRUE	TRUE
Rpa1	chr11	FALSE	TRUE
Mettl23	chr11	FALSE	TRUE
Ldlr	chr9	TRUE	TRUE
Slc40a1	chr1	TRUE	TRUE
Gpr101	chrX	FALSE	TRUE
Tmie	chr9	TRUE	TRUE
C1qtnf6	chr15	TRUE	FALSE
Gm815	chr19	TRUE	TRUE
Cryab	chr9	TRUE	TRUE
Rps6kb2	chr19	FALSE	TRUE
Pold4	chr19	TRUE	TRUE
Ubl5	chr9	TRUE	TRUE
Wdr45b	chr11	FALSE	TRUE
Tmem200c	chr17	TRUE	FALSE
Asphd1	chr7	FALSE	TRUE
Fadd	chr7	TRUE	TRUE
Fam47e	chr5	FALSE	TRUE
Slc38a5	chrX	FALSE	TRUE
Lratd1	chr12	TRUE	FALSE
Eppin	chr2	FALSE	TRUE
Pklr	chr3	FALSE	TRUE
Il1f10	chr2	FALSE	TRUE
Lce1l	chr3	FALSE	TRUE
Hpcal1	chr12	TRUE	TRUE
Isca1	chr13	FALSE	TRUE
Il2rb	chr15	TRUE	TRUE
Il13	chr11	TRUE	TRUE
Asnsd1	chr1	TRUE	TRUE
Il17c	chr8	FALSE	TRUE
Ly6g6e	chr17	TRUE	TRUE
Sf3b3	chr8	FALSE	TRUE
Evi2a	chr11	FALSE	TRUE
Psmb3	chr11	FALSE	TRUE
Prl2c1	chr13	FALSE	TRUE
Btbd19	chr4	TRUE	TRUE
Spink11	chr18	FALSE	TRUE
Epm2aip1	chr9	TRUE	TRUE
Smad2	chr18	TRUE	TRUE
Tnfaip1	chr11	FALSE	TRUE
Inafm1	chr7	TRUE	TRUE
Clec2f	chr6	FALSE	TRUE
Trex2	chrX	FALSE	FALSE
Smim8	chr4	TRUE	TRUE
Xcl1	chr1	TRUE	TRUE
Krtap10-4	chr10	FALSE	TRUE
C9orf72	chr4	TRUE	TRUE
Spryd3	chr15	TRUE	TRUE
Ppil3	chr1	TRUE	TRUE
Gpx7	chr4	TRUE	FALSE
Smu1	chr4	FALSE	TRUE
Serpinb9e	chr13	TRUE	TRUE
Ugt1a9	chr1	TRUE	TRUE
Zfp58	chr13	TRUE	TRUE
Ccnb2	chr9	FALSE	TRUE
Adal	chr2	TRUE	TRUE
Pif1	chr9	FALSE	FALSE
Fblim1	chr4	FALSE	TRUE
Csl	chr10	FALSE	FALSE
Ugt1a2	chr1	TRUE	TRUE
Crebl2	chr6	TRUE	TRUE
Ptma	chr1	FALSE	TRUE
Oxgr1	chr14	FALSE	TRUE
Sele	chr1	FALSE	TRUE
Acod1	chr14	TRUE	TRUE
Nedd8	chr14	TRUE	FALSE
Cyb5r3	chr15	TRUE	TRUE
Rpain	chr11	TRUE	TRUE
Crnn	chr3	FALSE	FALSE
Syngap1	chr17	FALSE	TRUE
Mea1	chr17	TRUE	TRUE
Pilra	chr5	FALSE	TRUE
Ovol1	chr19	FALSE	FALSE
Ccl3	chr11	FALSE	TRUE
Sod3	chr5	TRUE	TRUE
Bdkrb1	chr12	TRUE	FALSE
Magea10	chrX	FALSE	TRUE
Pnn	chr12	TRUE	TRUE
Ccdc134	chr15	TRUE	TRUE
Arrdc2	chr8	TRUE	TRUE
Atp4a	chr7	FALSE	TRUE
Mt4	chr8	TRUE	TRUE
Syde1	chr10	TRUE	TRUE
Ccdc74a	chr16	FALSE	TRUE
Gucy2f	chrX	FALSE	TRUE
Mup4	chr4	FALSE	TRUE
H2-M3	chr17	FALSE	TRUE
Nutm2	chr13	FALSE	TRUE
4933402D24Rik	chr1	TRUE	TRUE
Tspyl1	chr10	TRUE	TRUE
Foxd2	chr4	FALSE	TRUE
Sgo2b	chr8	TRUE	TRUE
Gon7	chr12	TRUE	TRUE
Slc2a12	chr10	TRUE	TRUE
Dact1	chr12	TRUE	TRUE
Zdhhc9	chrX	TRUE	TRUE
Sc5d	chr9	TRUE	TRUE
Mfng	chr15	FALSE	TRUE
Amacr	chr15	TRUE	TRUE
Ppil2	chr16	FALSE	TRUE
Ap3m2	chr8	TRUE	TRUE
Efcc1	chr6	TRUE	TRUE
Phospho2	chr2	TRUE	TRUE
Fam110c	chr12	FALSE	FALSE
