"peak_id","h2a_Fold","h2a_FDR","SYMBOL"
"h2a_peak_19179",0.117010319,0.45473006,"Jakmip2"
"h2a_peak_19182",0.757377996,1.77e-06,"Tcf4"
"h2a_peak_19183",-0.002975112,0.987008276,"Ctif"
"h2a_peak_19184",0.407419262,0.007209423,"Mapk4"
"h2a_peak_19186",1.090155882,5.2e-15,"Arhgap26"
"h2a_peak_19188",0.103642049,0.508704948,"Sil1"
"h2a_peak_19189",0.033244378,0.855258721,"Ppic"
"h2a_peak_19191",0.486221116,0.000455167,"Kctd16"
"h2a_peak_19192",0.127435076,0.501697687,"Tcf4"
"h2a_peak_19194",-0.432647787,0.002601368,"Ppp2r2b"
"h2a_peak_19196",-0.263926594,0.064743702,"Pard6g"
"h2a_peak_19197",0.748619481,5.89e-05,"Prr16"
"h2a_peak_19198",0.056933027,0.738828458,"Nedd4l"
"h2a_peak_19200",-0.086349025,0.601608803,"Mapre2"
"h2a_peak_19201",-0.286058326,0.065506972,"Psd2"
"h2a_peak_19205",-0.400513673,0.007800724,"Ppp2r2b"
"h2a_peak_19208",0.022732947,0.888039128,"Garem1"
"h2a_peak_19209",0.935805531,3.39e-11,"Osbpl1a"
"h2a_peak_19210",0.68024146,1.14e-06,"Tnfaip8"
"h2a_peak_19212",-0.223508936,0.137950627,"Adnp2"
"h2a_peak_19213",0.552930058,0.000185756,"Zfp521"
"h2a_peak_19221",0.421246032,0.003295646,"Ccdc192"
"h2a_peak_19222",-0.194048372,0.169133891,"Zbtb7c"
"h2a_peak_19223",0.32489698,0.029110477,"Ldlrad4"
"h2a_peak_19227",0.079687909,0.587561214,"Atp8b1"
"h2a_peak_19228",0.173299247,0.256420652,"Mcc"
"h2a_peak_19229",0.462852738,0.001974784,"Spink13"
"h2a_peak_19232",0.910398899,5.87e-09,"Arhgap26"
"h2a_peak_19234",0.276433477,0.054765144,"Rps14"
"h2a_peak_19239",-0.056101187,0.758094998,"Ppp2r2b"
"h2a_peak_19241",0.593492291,3.57e-05,"Kif5b"
"h2a_peak_19242",-0.080694537,0.634998496,"Slc14a2"
"h2a_peak_19243",1.148146823,5.78e-16,"C330018D20Rik"
"h2a_peak_19245",0.341769142,0.025283456,"Oacyl"
"h2a_peak_19246",0.395170893,0.00438091,"Fhod3"
"h2a_peak_19248",-0.159406197,0.260018787,"Mro"
"h2a_peak_19251",0.61267064,0.000188887,"Wdr7"
"h2a_peak_19252",-0.374389681,0.030772001,"Mc4r"
"h2a_peak_19254",-0.229549929,0.109125657,"Marchf3"
"h2a_peak_19255",0.566074999,6.61e-05,"Kctd16"
"h2a_peak_19257",0.386387694,0.004378492,"Nedd4l"
"h2a_peak_19259",0.471666853,0.000527334,"Ccdc192"
"h2a_peak_19261",1.622737654,8.27e-28,"Tcf4"
"h2a_peak_19262",-0.133292393,0.365225963,"Mapk4"
"h2a_peak_19263",0.07588066,0.680823735,"Pard6g"
"h2a_peak_19264",-0.225447905,0.117383566,"Pdgfrb"
"h2a_peak_19265",0.779344517,1.38e-08,"Ccbe1"
"h2a_peak_19266",0.017046012,0.919550848,"Nedd4l"
"h2a_peak_19268",0.285215738,0.041549017,"Apc"
"h2a_peak_19269",-0.144669508,0.366716715,"Zfp521"
"h2a_peak_19276",0.256590177,0.078047828,"Sil1"
"h2a_peak_19280",-0.031292025,0.861008659,"Mcc"
"h2a_peak_19282",-0.436532866,0.001670883,"Ctif"
"h2a_peak_19283",-0.129294608,0.401008456,"Cxxc5"
"h2a_peak_19284",-0.011486368,0.945739035,"Sil1"
"h2a_peak_19285",0.215983041,0.156538123,"Tcf4"
"h2a_peak_19287",-0.062925356,0.681174865,"Cables1"
"h2a_peak_19288",-0.30165237,0.051453142,"Commd10"
"h2a_peak_19290",-0.029334486,0.866496547,"Celf4"
"h2a_peak_19291",1.172634904,9.88e-16,"Arhgap26"
"h2a_peak_19291",1.172634904,9.88e-16,"Arhgap26"
"h2a_peak_19293",0.66596469,5.56e-07,"Ctif"
"h2a_peak_19294",0.155881672,0.300995723,"Svil"
"h2a_peak_19295",0.158475017,0.314260676,"Tslp"
"h2a_peak_19296",0.467912482,0.000812793,"Arhgap26"
"h2a_peak_19299",0.472949544,0.00032931,"Arhgap26"
"h2a_peak_19300",-0.479136287,0.000647181,"Zfp407"
"h2a_peak_19302",0.402961681,0.008792204,"Hbegf"
"h2a_peak_19304",0.677947023,1.75e-05,"Diaph1"
"h2a_peak_19306",0.515719359,0.001389519,"Svil"
"h2a_peak_19307",0.179137929,0.238828819,"Sema6a"
"h2a_peak_19308",0.080634141,0.603373246,"Sema6a"
"h2a_peak_19309",-0.589067078,0.000121479,"Nrg2"
"h2a_peak_19310",-0.540239636,0.000140596,"Nrg2"
"h2a_peak_19312",-0.024336966,0.885652267,"Atp8b1"
"h2a_peak_19314",0.374219915,0.012090893,"Zfp521"
"h2a_peak_19315",0.054220789,0.729077937,"Kcng2"
"h2a_peak_19316",0.236671957,0.112019399,"Jakmip2"
"h2a_peak_19317",-0.262992314,0.056554456,"Setbp1"
"h2a_peak_19319",-0.19651024,0.173045565,"Sema6a"
"h2a_peak_19325",-0.045887632,0.783783203,"Lama3"
"h2a_peak_19327",0.660521892,7.76e-05,"Prdm6"
"h2a_peak_19328",0.174644587,0.225976745,"Mapk4"
"h2a_peak_19329",-0.415706266,0.003712134,"Slc14a2"
"h2a_peak_19334",0.833320531,1.41e-08,"Ldlrad4"
"h2a_peak_19337",0.006307379,0.970863009,"Mro"
"h2a_peak_19341",0.091770212,0.53788661,"Cystm1"
"h2a_peak_19343",0.707626643,1.1e-06,"Sncaip"
"h2a_peak_19344",-0.209451504,0.134921801,"Myo5b"
"h2a_peak_19352",0.171387805,0.239499541,"Tnfaip8"
"h2a_peak_19353",-0.091637174,0.567018164,"Psd2"
"h2a_peak_19354",0.64607917,1.8e-06,"Grpel2"
"h2a_peak_19356",-0.158401726,0.342722637,"Synpo"
"h2a_peak_19358",0.118391885,0.453668528,"Sema6a"
"h2a_peak_19359",0.673670198,6.12e-07,"Isoc1"
"h2a_peak_19362",0.353098284,0.022891871,"Ldlrad4"
"h2a_peak_19364",-0.004377394,0.98186157,"Ndst1"
"h2a_peak_19366",0.119605433,0.428843944,"Ppp2r2b"
"h2a_peak_19367",0.269846021,0.05480868,"Ppp2r2b"
"h2a_peak_19369",0.018067789,0.919542662,"Ctif"
"h2a_peak_19371",0.896926096,1.21e-10,"Zfp474"
"h2a_peak_19372",0.496089616,0.000925217,"Arhgap26"
"h2a_peak_19372",0.496089616,0.000925217,"Arhgap26"
"h2a_peak_19375",0.702211139,7.29e-07,"Ccdc192"
"h2a_peak_19377",0.894216344,4.53e-10,"St8sia3"
"h2a_peak_19380",-0.209055258,0.187783276,"Dpysl3"
"h2a_peak_19381",0.234176496,0.134660909,"Ppp2r2b"
"h2a_peak_19382",-0.094396712,0.513713715,"Svil"
"h2a_peak_19384",0.33662976,0.030164523,"Socs6"
"h2a_peak_19385",0.670031071,5.79e-07,"Ino80c"
"h2a_peak_19386",0.144455471,0.360919882,"Siglec15"
"h2a_peak_19389",-0.040443545,0.816302485,"Garem1"
"h2a_peak_19390",-0.41375311,0.005711476,"Fbn2"
"h2a_peak_19392",0.919727529,4.15e-11,"Mcc"
"h2a_peak_19394",-0.108903897,0.515049882,"Nrg2"
"h2a_peak_19395",-0.063382586,0.697430036,"Dpysl3"
"h2a_peak_19396",0.330658045,0.028111439,"Mcc"
"h2a_peak_19397",-0.388289336,0.006388522,"Ctif"
"h2a_peak_19398",-0.005964967,0.97421309,"Mcc"
"h2a_peak_19399",0.81645519,3.56e-08,"Arhgap26"
"h2a_peak_19400",0.033094715,0.848022234,"Zfp532"
"h2a_peak_19401",0.485955077,0.004495615,"Ammecr1l"
"h2a_peak_19404",0.382541172,0.00959991,"Prrc1"
"h2a_peak_19405",-0.535177562,0.000528161,"Zfp532"
"h2a_peak_19406",1.02480795,7.92e-14,"Onecut2"
"h2a_peak_19407",0.313861808,0.017651712,"Setbp1"
"h2a_peak_19409",0.429231351,0.000914567,"Sil1"
"h2a_peak_19411",0.250029985,0.070388699,"Ss18"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhga1"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhga2"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhga3"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhgb1"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhga4"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhgb2"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhga5"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhga6"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhga7"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhgb4"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhga8"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhgb5"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhga9"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhgb6"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhga10"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhgb7"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhga11"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhga12"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhgc3"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhgc4"
"h2a_peak_19413",-0.156327146,0.264786791,"Pcdhgc5"
"h2a_peak_19415",0.3641389,0.007314709,"Tnfaip8"
"h2a_peak_19417",-0.152579227,0.271800684,"Nedd4l"
"h2a_peak_19420",-0.188840167,0.16527449,"Ctif"
"h2a_peak_19421",0.347529716,0.015055684,"Rit2"
"h2a_peak_19426",0.038285562,0.824063391,"Pcyox1l"
"h2a_peak_19427",0.033066289,0.830277184,"Marchf3"
"h2a_peak_19429",-0.096639411,0.5135365,"Nfatc1"
"h2a_peak_19431",1.03580069,6.36e-13,"Rab27b"
"h2a_peak_19432",0.47870113,0.000345474,"Ctif"
"h2a_peak_19433",0.656499568,1.11e-05,"Ttc39c"
"h2a_peak_19437",0.149431572,0.330113349,"Spry4"
"h2a_peak_19438",-0.302443271,0.018544929,"Zbtb7c"
"h2a_peak_19443",1.179203723,8.37e-17,"Arhgap26"
"h2a_peak_19443",1.179203723,8.37e-17,"Fgf1"
"h2a_peak_19445",0.459826464,0.000448871,"Cystm1"
"h2a_peak_19447",1.51571603,1.28e-25,"Ttr"
"h2a_peak_19448",0.048425854,0.746660494,"Mbp"
"h2a_peak_19450",0.380761225,0.021908407,"Dele1"
"h2a_peak_19451",0.087261555,0.565230038,"Zfp521"
"h2a_peak_19452",-0.124628136,0.381336047,"Synpo"
"h2a_peak_19453",0.032748307,0.8438857,"Svil"
"h2a_peak_19454",0.40634567,0.006498315,"Synpo"
"h2a_peak_19455",0.045533779,0.789202751,"Ppp2r2b"
"h2a_peak_19456",0.134244632,0.34439875,"Celf4"
"h2a_peak_19457",0.111899811,0.490315244,"Tshz1"
"h2a_peak_19458",0.1046338,0.485644089,"Zfp532"
"h2a_peak_19460",0.334249557,0.011558746,"Ppp2r2b"
"h2a_peak_19465",1.030194445,1.61e-14,"Zfp24"
"h2a_peak_19466",-0.314892068,0.015431392,"Nfatc1"
"h2a_peak_19470",-0.217218342,0.113609983,"Dym"
"h2a_peak_19472",-0.181222329,0.188849391,"Ctif"
"h2a_peak_19474",0.027738386,0.88347851,"Il17b"
"h2a_peak_19477",-0.163273234,0.298618044,"Pdgfrb"
"h2a_peak_19478",0.236096286,0.106710502,"Ctnna1"
"h2a_peak_19478",0.236096286,0.106710502,"Lrrtm2"
"h2a_peak_19481",0.17068514,0.226035309,"Ctif"
"h2a_peak_19486",-0.502836496,6.95e-05,"Tcof1"
"h2a_peak_19487",0.975935877,5.43e-11,"Crem"
"h2a_peak_19488",0.374106908,0.006165865,"Mcc"
"h2a_peak_19490",0.992686574,1.3e-14,"Lama3"
"h2a_peak_19493",1.351976799,2.4e-22,"Arhgap26"
"h2a_peak_19494",0.741372494,8.58e-06,"Lman1"
"h2a_peak_19495",0.221526165,0.40215873,"Sec11c"
"h2a_peak_19496",0.214404122,0.124046569,"Epb41l4a"
"h2a_peak_19498",0.143771912,0.278899067,"Cplx4"
"h2a_peak_19499",-0.142236897,0.31077244,"Fhod3"
"h2a_peak_19501",0.536081504,0.00021553,"Ccdc192"
"h2a_peak_19502",0.554633791,1.57e-05,"Snhg4"
"h2a_peak_19503",-0.342979401,0.01146512,"Megf10"
"h2a_peak_19504",0.944232856,3.95e-10,"Arhgap26"
"h2a_peak_19506",0.291490111,0.02785984,"Celf4"
"h2a_peak_19507",0.732707435,5.05e-07,"Celf4"
"h2a_peak_19510",0.125027291,0.369765391,"Spry4"
"h2a_peak_19511",0.734890495,2.83e-08,"Tcf4"
"h2a_peak_19514",-0.654628665,1.17e-05,"Sall3"
"h2a_peak_19517",0.060017699,0.692622525,"Zbtb7c"
"h2a_peak_19519",0.163529045,0.257104527,"Svil"
"h2a_peak_19520",0.55320825,2.55e-05,"Dmxl1"
"h2a_peak_19521",-0.530092379,0.000251542,"Myo5b"
"h2a_peak_19523",-0.662346001,8.31e-06,"Lvrn"
"h2a_peak_19526",0.283650003,0.073105259,"Tcerg1"
"h2a_peak_19528",0.35229426,0.021456273,"Dcc"
"h2a_peak_19530",0.236606158,0.115806232,"Hsbp1l1"
"h2a_peak_19533",0.636584227,1.18e-06,"Prr16"
"h2a_peak_19534",-0.28190523,0.066617301,"Cxxc5"
"h2a_peak_19535",0.333337238,0.016587948,"Tnfaip8"
"h2a_peak_19539",0.087190532,0.612942791,"Ppargc1b"
"h2a_peak_19540",0.40488804,0.002509165,"Mcc"
"h2a_peak_19541",-0.084638419,0.609376343,"Loxhd1"
"h2a_peak_19542",0.908620651,2.96e-10,"Osbpl1a"
"h2a_peak_19543",0.01215878,0.936916241,"Myo5b"
"h2a_peak_19545",0.223007073,0.15563075,"Mbp"
"h2a_peak_19548",0.325365091,0.031427203,"St8sia5"
"h2a_peak_19549",0.268466762,0.044121208,"Rmc1"
"h2a_peak_19551",0.10109669,0.505518048,"Slc14a2"
"h2a_peak_19554",0.370360895,0.003003047,"Mex3c"
"h2a_peak_19555",-0.043887911,0.763808747,"Pard6g"
"h2a_peak_19558",0.421945969,0.002947942,"Marchf3"
"h2a_peak_19561",0.023199349,0.888383816,"Mcc"
"h2a_peak_19562",0.491588673,7.83e-05,"Nrep"
"h2a_peak_19563",0.199130557,0.170159819,"Dsg2"
"h2a_peak_19565",0.509271798,0.000433294,"Tnfaip8"
"h2a_peak_19569",-0.111559448,0.442963979,"Mcc"
"h2a_peak_19571",0.299089647,0.027747787,"Snx24"
"h2a_peak_19574",-0.31360378,0.021304064,"Celf4"
"h2a_peak_19575",1.061463836,2.29e-14,"Hsd17b4"
"h2a_peak_19577",0.869065069,5.19e-09,"4930503L19Rik"
"h2a_peak_19577",0.869065069,5.19e-09,"Stard6"
"h2a_peak_19578",-0.552819812,5.23e-05,"Nrg2"
"h2a_peak_19580",1.288131995,3.11e-20,"Ccdc192"
"h2a_peak_19586",-0.171766692,0.20622518,"Celf4"
"h2a_peak_19589",0.271432422,0.042671028,"Kcnn2"
"h2a_peak_19593",0.561315642,1.9e-05,"Arhgap26"
"h2a_peak_19595",0.754649215,3.17e-07,"Me2"
"h2a_peak_19597",0.401041883,0.008050782,"Nrg2"
"h2a_peak_19598",0.932864922,3.3e-10,"Prr16"
"h2a_peak_19600",0.3665071,0.005202823,"Garem1"
"h2a_peak_19602",-0.03743499,0.811019481,"Prelid2"
"h2a_peak_19604",0.746906713,2.73e-06,"Ccbe1"
"h2a_peak_19605",0.372665018,0.0062703,"Tshz1"
"h2a_peak_19609",-0.386595232,0.002849082,"Nrg2"
"h2a_peak_19610",-0.170676009,0.191920035,"Celf4"
"h2a_peak_19611",0.034778324,0.81779808,"Setbp1"
"h2a_peak_19612",0.539106481,0.000132748,"Slc14a2"
"h2a_peak_19617",0.3244401,0.017328979,"Cdo1"
"h2a_peak_19620",-0.032670157,0.83911291,"Celf4"
"h2a_peak_19623",0.005254519,0.979433014,"Camk2a"
"h2a_peak_19625",0.3501954,0.014762499,"Slc27a6"
"h2a_peak_19626",0.232375966,0.14213098,"Mcc"
"h2a_peak_19627",0.529223331,9.58e-05,"Zfp608"
"h2a_peak_19629",0.655308079,2.32e-06,"Smad2"
"h2a_peak_19630",0.114782728,0.375626499,"Rab27b"
"h2a_peak_19632",0.347478345,0.014678442,"Ttc39c"
"h2a_peak_19634",0.340997765,0.006015828,"Cdh2"
"h2a_peak_19636",0.135887539,0.320080875,"Celf4"
"h2a_peak_19638",0.506554303,0.000187249,"Arhgap26"
"h2a_peak_19638",0.506554303,0.000187249,"Arhgap26"
"h2a_peak_19639",0.054587143,0.70089739,"Mapk4"
"h2a_peak_19643",0.506350648,4.07e-05,"Nedd4l"
"h2a_peak_19644",0.017981833,0.913925979,"Setbp1"
"h2a_peak_19646",0.227419896,0.077299661,"Celf4"
"h2a_peak_19649",0.694121082,4.1e-07,"Arhgap26"
"h2a_peak_19655",0.721039593,2.22e-09,"Kctd16"
"h2a_peak_19658",0.123564225,0.404276686,"Rit2"
"h2a_peak_19659",-0.056779575,0.68543399,"Zfp532"
"h2a_peak_19661",0.188491146,0.466456276,"Ankhd1"
"h2a_peak_19662",0.07286854,0.624286091,"Ttc39c"
"h2a_peak_19663",0.31431333,0.017774883,"Kcnn2"
"h2a_peak_19665",0.150084033,0.275745131,"Fbn2"
"h2a_peak_19666",0.644205164,3.34e-06,"Snx24"
"h2a_peak_19667",0.414213929,0.002966477,"Ankrd29"
"h2a_peak_19668",0.095909112,0.465993577,"Setbp1"
"h2a_peak_19669",0.976633955,9.64e-16,"Prr16"
"h2a_peak_19670",0.308543692,0.039872564,"Celf4"
"h2a_peak_19671",0.107750478,0.503275181,"Lama3"
"h2a_peak_19672",0.046551065,0.752322292,"Ctif"
"h2a_peak_19676",0.176589572,0.233259411,"Ldlrad4"
"h2a_peak_19677",0.007138913,0.969081384,"Slc14a2"
"h2a_peak_19678",0.271190215,0.05874176,"Mbp"
"h2a_peak_19679",0.146741764,0.329487995,"Garem1"
"h2a_peak_19680",-0.108104734,0.428055054,"Smad7"
"h2a_peak_19682",0.565662406,0.000243136,"Cyb5a"
"h2a_peak_19683",0.142009016,0.319006476,"Slc14a1"
"h2a_peak_19684",0.012541568,0.935071728,"Tnfaip8"
"h2a_peak_19686",1.39595614,6.18e-24,"Marchf3"
"h2a_peak_19689",0.414070277,0.000950301,"Dcc"
"h2a_peak_19690",1.346705831,5.68e-08,"Arhgap26"
"h2a_peak_19690",1.346705831,5.68e-08,"Fgf1"
"h2a_peak_19691",0.281066949,0.221901826,"Ldlrad4"
"h2a_peak_19692",1.308633026,8.28e-28,"Dsc2"
"h2a_peak_19693",0.295147601,0.037000386,"Osbpl1a"
"h2a_peak_19694",0.260796746,0.030583493,"Mcc"
"h2a_peak_19696",-0.136910869,0.30522458,"Camk2a"
"h2a_peak_19703",-0.369816647,0.003866221,"Fhod3"
"h2a_peak_19704",0.070761196,0.641064873,"Mbp"
"h2a_peak_19705",0.321177551,0.189002534,"Fbxo15"
"h2a_peak_19705",0.321177551,0.189002534,"Timm21"
"h2a_peak_19706",0.865268794,7.14e-12,"Jakmip2"
"h2a_peak_19709",-0.104769104,0.450058023,"Psd2"
"h2a_peak_19710",0.295425569,0.048712789,"Afg3l2"
"h2a_peak_19712",0.474440343,0.000164028,"Svil"
"h2a_peak_19713",0.472005054,0.000228022,"Epb41l4a"
"h2a_peak_19714",0.277713539,0.037861941,"Ttc39c"
"h2a_peak_19717",-0.275039502,0.053246087,"Myo5b"
"h2a_peak_19719",-0.019124432,0.908410189,"Pdgfrb"
"h2a_peak_19722",0.099715513,0.438125891,"Camk2a"
"h2a_peak_19723",-0.00802473,0.958211785,"Mapk4"
"h2a_peak_19724",0.067714675,0.693429153,"Celf4"
"h2a_peak_19725",-0.279604108,0.024644282,"Zfp516"
"h2a_peak_19727",0.330408084,0.010295101,"Zfp521"
"h2a_peak_19728",0.205567558,0.179006869,"Tnfaip8"
"h2a_peak_19731",0.935956348,1.68e-15,"Kcnn2"
"h2a_peak_19732",-0.036290928,0.80116538,"Ppic"
"h2a_peak_19733",-0.198478288,0.111672115,"Nrg2"
"h2a_peak_19734",-0.245178749,0.076619433,"Pstpip2"
"h2a_peak_19735",-0.351234187,0.010547895,"Ctif"
"h2a_peak_19736",0.490644476,0.00036741,"Marchf3"
"h2a_peak_19739",0.849587219,1.32e-09,"Alpk2"
"h2a_peak_19744",0.404806406,0.000421531,"Ccdc112"
"h2a_peak_19745",-0.083804182,0.526805959,"Mapre2"
"h2a_peak_19746",0.715804073,1.04e-07,"Kcnn2"
"h2a_peak_19747",0.087756385,0.576040264,"Smad7"
"h2a_peak_19748",0.533365236,8.04e-06,"Zfp532"
"h2a_peak_19749",0.466948674,6.71e-05,"Ctif"
"h2a_peak_19751",0.317735968,0.021390431,"Pard6g"
"h2a_peak_19752",0.490642,0.000105927,"Ablim3"
"h2a_peak_19758",-0.250564016,0.053246087,"Ctif"
"h2a_peak_19759",0.616308671,7.98e-07,"Arhgap26"
"h2a_peak_19760",0.704973652,1.34e-08,"Wdr7"
"h2a_peak_19763",0.375495866,0.002112346,"Slc14a2"
"h2a_peak_19764",0.472555629,0.000373134,"Ccdc178"
"h2a_peak_19770",0.610071695,3.15e-06,"Zfp521"
"h2a_peak_19774",0.147860098,0.273115983,"Commd10"
"h2a_peak_19776",0.393567151,0.000464428,"Kcnn2"
"h2a_peak_19777",-0.579971425,5.34e-07,"Nrg2"
"h2a_peak_19778",-0.181571166,0.177188838,"Cplx4"
"h2a_peak_19780",0.23124261,0.088503157,"Dipk1c"
"h2a_peak_19786",0.403739009,0.010924369,"Chst9"
"h2a_peak_19792",0.020976316,0.886179846,"Setbp1"
"h2a_peak_19794",0.078168363,0.583115064,"Mapk4"
"h2a_peak_19798",0.180008756,0.185513943,"Lipg"
"h2a_peak_19799",0.391621082,0.003568267,"Fhod3"
"h2a_peak_19801",0.014394163,0.932203215,"Nrep"
"h2a_peak_19803",0.725065282,9.82e-07,"Slc39a6"
"h2a_peak_19803",0.725065282,9.82e-07,"Elp2"
"h2a_peak_19805",0.317936854,0.021036604,"Taf4b"
"h2a_peak_19806",0.495093061,8.09e-05,"Zfp608"
"h2a_peak_19807",0.557473969,0.000351411,"Svil"
"h2a_peak_19810",1.074104523,3.19e-16,"Cep120"
"h2a_peak_19813",0.532874389,4.8e-05,"Mcc"
"h2a_peak_19814",0.581146821,3e-06,"Ppp2r2b"
"h2a_peak_19815",0.441458464,0.000545065,"Nol4"
"h2a_peak_19816",0.864668941,7.32e-13,"Cep120"
"h2a_peak_19818",0.37877244,0.009280437,"Arhgap26"
"h2a_peak_19819",0.445549247,0.000201035,"Ldlrad4"
"h2a_peak_19820",0.486666629,0.000367916,"Ablim3"
"h2a_peak_19821",0.67107007,6.08e-08,"Arhgap26"
"h2a_peak_19824",0.277279558,0.039763228,"Tcf4"
"h2a_peak_19827",0.230760452,0.058544785,"Mbp"
"h2a_peak_19829",0.567707147,1.38e-06,"AW554918"
"h2a_peak_19830",-0.573378554,1.04e-05,"Ndst1"
"h2a_peak_19831",0.333306481,0.006845903,"Sil1"
"h2a_peak_19833",-0.544813279,0.000120973,"Cbln2"
"h2a_peak_19835",0.212347065,0.125634402,"Mapk4"
"h2a_peak_19836",0.517320759,1.07e-05,"Svil"
"h2a_peak_19838",0.507562653,2.78e-05,"Marchf3"
"h2a_peak_19840",0.373547341,0.001408735,"Zfp521"
"h2a_peak_19841",0.463455878,0.000649589,"Fhod3"
"h2a_peak_19842",-0.486722907,0.000133618,"Megf10"
"h2a_peak_19843",1.147963555,7.07e-20,"Svil"
"h2a_peak_19844",0.37588664,0.002280187,"Ppp2r2b"
"h2a_peak_19853",0.228180006,0.043877581,"Mcc"
"h2a_peak_19855",0.481092268,0.060470928,"Sap130"
"h2a_peak_19856",0.760607038,3.09e-10,"Slc14a2"
"h2a_peak_19857",0.026431371,0.853489323,"Ctif"
"h2a_peak_19860",-0.262637102,0.03386438,"Megf10"
"h2a_peak_19862",0.2289121,0.060799875,"Mcc"
"h2a_peak_19864",0.685796938,2.15e-06,"Arhgap26"
"h2a_peak_19867",-0.033661819,0.7972886,"Nedd4l"
"h2a_peak_19868",0.826632944,3.16e-08,"B4galt6"
"h2a_peak_19869",0.930931672,9.5e-11,"Fhod3"
"h2a_peak_19870",0.375895141,0.002507221,"Ppp2r2b"
"h2a_peak_19871",0.353266235,0.005176437,"Dcc"
"h2a_peak_19872",0.372889057,0.000780455,"Afap1l1"
"h2a_peak_19873",0.401218931,0.001130429,"Ss18"
"h2a_peak_19874",0.96204681,1.59e-16,"Dsc2"
"h2a_peak_19875",-0.476449571,0.000123052,"Ctnna1"
"h2a_peak_19877",0.965291264,1.1e-12,"Sting1"
"h2a_peak_19879",0.426939702,0.000305697,"Osbpl1a"
"h2a_peak_19880",-0.125756614,0.370166102,"Slc14a2"
"h2a_peak_19882",0.299619165,0.016747994,"Slc14a1"
"h2a_peak_19883",1.768837938,1.42e-45,"Rttn"
"h2a_peak_19885",0.810598486,1.13e-11,"Sil1"
"h2a_peak_19886",-0.323300119,0.013100394,"Cxxc5"
"h2a_peak_19887",0.209461408,0.096772118,"Kcnn2"
"h2a_peak_19888",0.057484639,0.67453258,"Ppp2r2b"
"h2a_peak_19890",0.10669905,0.472846123,"Rnf125"
"h2a_peak_19891",1.122114359,1.23e-20,"Arhgap26"
"h2a_peak_19892",0.147095081,0.268868387,"Megf10"
"h2a_peak_19894",0.451564373,7.06e-05,"Jakmip2"
"h2a_peak_19895",-0.034183908,0.80116538,"Mapre2"
"h2a_peak_19896",-0.304129984,0.013435213,"Megf10"
"h2a_peak_19899",0.046397501,0.725801042,"Bin1"
"h2a_peak_19900",0.361334225,0.002334649,"Tnfaip8"
"h2a_peak_19901",0.337339156,0.007370058,"Mapre2"
"h2a_peak_19902",0.511696581,0.000229725,"Dtna"
"h2a_peak_19904",-0.36488461,0.001882418,"Celf4"
"h2a_peak_19905",0.833343466,1.34e-12,"Prdm6"
"h2a_peak_19906",0.891049789,9.19e-11,"Zfp474"
"h2a_peak_19907",1.354748501,3.1e-31,"Piezo2"
"h2a_peak_19909",0.103781472,0.441050395,"Lipg"
"h2a_peak_19915",0.980894253,1.96e-17,"Tpgs2"
"h2a_peak_19915",0.980894253,1.96e-17,"AW554918"
"h2a_peak_19916",-0.207562033,0.122082949,"Tmem241"
"h2a_peak_19917",0.228767858,0.046335793,"Mapk4"
"h2a_peak_19920",-0.105831396,0.439064998,"Celf4"
"h2a_peak_19921",-0.203004543,0.098559241,"Myo5b"
"h2a_peak_19922",0.275025211,0.026985906,"Zfp516"
"h2a_peak_19926",-0.115017188,0.377193583,"Celf4"
"h2a_peak_19931",-0.080237832,0.642562199,"Slc14a2"
"h2a_peak_19932",0.627182787,3.61e-09,"B4galt6"
"h2a_peak_19934",0.129336079,0.293121476,"Zbtb7c"
"h2a_peak_19935",0.312902995,0.010000314,"Slc66a2"
"h2a_peak_19937",-0.035207265,0.790680935,"Svil"
"h2a_peak_19941",0.29463634,0.008811895,"Wdr7"
"h2a_peak_19942",0.297073868,0.009196472,"Setbp1"
"h2a_peak_19946",0.638014275,3.91e-07,"Zfp521"
"h2a_peak_19951",1.388887721,4.82e-30,"Piezo2"
"h2a_peak_19952",0.226967235,0.065511435,"Ppp2r2b"
"h2a_peak_19953",-0.482534524,0.000681364,"Cxxc5"
